TIRF Data File: Project 1792; Run 10; ISO False; ID -_DTFHg
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1330.65	4.37	14.801	-1.493	30.72	-123.98	-11091.37	-6413.45	62.59	70.42	0.02	1.73	24.21	34.69	32.32	55.47	58.53	87.49	81.22	24.77	-6249.75	6.39	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.66	4.41	14.805	-1.491	30.72	-125.59	-11088.43	-6420.30	60.37	70.15	0.02	1.73	24.21	35.17	32.15	55.55	58.56	87.47	81.25	24.78	-6249.75	6.49	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.67	4.47	14.821	-1.493	30.72	-128.62	-11073.61	-6433.71	57.14	67.73	0.02	1.72	24.21	35.78	32.00	55.58	58.60	87.42	81.40	24.80	-6249.75	6.49	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.68	4.52	14.824	-1.489	30.72	-128.96	-11046.02	-6448.72	56.58	63.98	0.02	1.71	24.22	36.27	31.96	55.63	58.63	87.36	81.48	24.81	-6249.75	6.58	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.69	4.58	14.829	-1.484	30.72	-124.11	-11024.08	-6457.06	51.53	61.15	0.02	1.71	24.21	36.64	32.03	55.68	58.69	87.24	81.57	24.81	-6249.75	6.58	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.70	4.69	14.829	-1.490	30.72	-123.27	-11028.74	-6448.61	48.21	58.16	0.02	1.71	24.24	37.25	32.28	55.74	58.66	87.13	81.64	24.81	-6249.75	6.68	15.000	0.00	24.00	-1.500	26.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.71	4.73	14.839	-1.493	30.72	-125.12	-11065.04	-6430.54	50.57	56.08	0.02	1.72	24.23	37.74	32.11	55.79	58.67	87.04	81.72	24.82	-6249.75	6.68	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.72	4.78	14.852	-1.490	30.72	-129.42	-11122.66	-6398.86	56.91	54.53	0.02	1.74	24.21	38.47	31.87	55.84	58.66	86.89	81.82	24.83	-6249.75	6.78	15.000	0.00	24.00	-1.500	26.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.73	4.86	14.848	-1.497	30.72	-133.73	-11175.05	-6366.58	64.00	53.85	0.02	1.76	24.20	39.08	31.87	55.95	58.63	86.76	81.88	24.85	-6249.75	6.78	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.74	4.95	14.855	-1.489	30.72	-136.32	-11206.31	-6357.39	71.22	53.91	0.02	1.76	24.21	39.32	32.28	55.93	58.63	86.63	81.95	24.85	-6249.75	6.87	15.000	0.00	24.00	-1.500	26.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1330.75	4.99	14.862	-1.491	30.72	-136.66	-11210.66	-6352.98	72.49	54.35	0.02	1.76	24.21	39.93	32.02	55.95	58.61	86.53	81.86	24.85	-6249.75	6.87	15.000	0.00	24.00	-1.500	26.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
