TIRF Data File: Project 1792; Run 42; ISO False; ID Ufy_hzq
ET	V	SA	IA	RL	FX	FY	FZ	MX	MZ	NFX	NFY	P	N	RE	TSTO	TSTC	TSTI	TSTSI	RST	CFZ	CV	CSA	CSR	CP	CIA	AmbTmp	TLT1	TLT2	TLT3	TLT4	TLT5	TLT6	TLT7	TLT8
s	kph	deg	deg	cm	N	N	N	Nm	Nm	none	none	psi	rpm	cm	deg c	deg c	deg c	deg c	deg c	N	kph	deg	none	psi	deg	deg c								
1334.32	5.42	14.878	-1.483	30.77	-114.01	-11053.40	-6439.49	52.70	55.89	0.02	1.72	24.34	43.04	32.27	59.28	62.46	95.53	76.86	25.76	-6249.75	7.24	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.33	5.47	14.880	-1.491	30.77	-109.50	-11102.82	-6422.34	49.35	56.37	0.02	1.73	24.35	43.16	32.51	59.59	62.47	95.60	76.88	25.72	-6249.75	7.24	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.34	5.55	14.887	-1.497	30.77	-110.12	-11123.02	-6410.33	47.10	52.18	0.02	1.74	24.35	43.77	32.49	59.85	62.47	95.67	76.93	25.68	-6249.75	7.34	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.35	5.62	14.884	-1.493	30.77	-115.90	-11112.75	-6410.69	47.18	44.29	0.02	1.73	24.35	44.38	32.47	60.02	62.49	95.70	76.99	25.64	-6249.75	7.34	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.36	5.64	14.892	-1.486	30.77	-121.03	-11088.83	-6413.78	49.21	36.49	0.02	1.73	24.35	44.99	32.14	60.18	62.45	95.73	77.11	25.61	-6249.75	7.44	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.37	5.75	14.890	-1.487	30.76	-121.36	-11063.99	-6414.65	52.40	31.54	0.02	1.72	24.37	45.60	32.34	60.28	62.40	95.70	77.19	25.59	-6249.75	7.44	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.38	5.81	14.897	-1.493	30.77	-117.61	-11032.57	-6414.38	54.05	31.82	0.02	1.72	24.35	45.97	32.39	60.28	62.41	95.65	77.32	25.55	-6249.75	7.53	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.39	5.86	14.890	-1.490	30.76	-114.71	-10978.43	-6419.14	55.39	34.76	0.02	1.71	24.37	46.58	32.28	60.28	62.34	95.57	77.45	25.50	-6249.75	7.53	15.000	0.00	24.00	-1.500	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.40	5.96	14.894	-1.497	30.77	-115.30	-10922.94	-6431.50	55.57	38.48	0.02	1.70	24.35	47.31	32.28	60.22	62.28	95.47	77.62	25.44	-6249.75	7.63	15.000	0.00	24.00	-1.500	26.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1334.41	6.00	14.903	-1.487	30.76	-114.76	-10880.21	-6442.23	54.51	42.33	0.02	1.69	24.35	47.43	32.40	60.10	62.18	95.39	77.79	25.41	-6249.75	7.63	15.000	0.00	24.00	-1.500	26.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
