event,session,car,driver,lap,kph,parse_error,vehicle,report_type,round,source_file,extracted_at
TAS,P01,3,Aaron Cameron,10,249,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,11,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,12,247,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,13,221,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,14,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,15,250,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,3,Aaron Cameron,16,248,FALSE,Ford,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,1,244,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,2,99,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,3,248,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,4,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,5,249,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,6,250,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
TAS,P01,4,Jack Le Brocq,7,238,FALSE,Chevrolet,top_speed,NaN,E:\2026\99_seasonTiming\05_TAS\top_speed\Practice 1.pdf,26/05/2026 8:36
